Tweets,Decision
the clowns complaining abt the ny giants on a boat must b jealous that their poor asses can't b on a boat.,No
@mikehimsworth @charliesheen why dont you pay your child support and stfu up junkie ...oh wait do you know who the daddy is asswipe,No
y'all be claiming crazy like it's cute. fake crazy asses. this shit is not cute. people who are actually crazy don't wanna be crazy ____,No
rt @stwawberrymochi: @exoarethekings9 also why can't y'all pull your heads out of your asses and realize that both groups are talented???,No
i'm the bench that gets blessed with isak and even asses https://t.co/osgiyu4ubi,No
rt @femaleiife: when i was younger i used to wonder why their asses was always sad &amp; depressed. i get it now __ https://t.co/mpmswdd0bs,No
@kuzy just read your article on @spiegel_english &amp; you're obviously a nihilist &amp; a self-hating fucktard! grow a pair of balls pussy!,Yes
i shitfaced,No
sexy women's asses #bisex free pics https://t.co/aksartrqkv,No
"@thiccameron @mostlykayla i first read this as ""we are each other's asses""",No
all i'm saying is as students we worked our asses off for our grades and the university has one job  post them already!!!!!,No
nice asses eating shorts in public https://t.co/hrbatpzlp1,No
kerry marie big round fat asses https://t.co/mcwejejtmi,No
rt @stonedc115: i can't relate with all y'all depressed asses even if my mommy died today i'd prolly just make a joke about and go eat someƒ,No
rt @davidjaycox: this fuckin cocksucker https://t.co/jd6ixfgpss,No
@karinamylene smh they love eating each other's asses on the low,No
destiny naked rock of love #hot girls naked asses https://t.co/tvjykuo5z1,No
asshat shitbrains crappy piss fucking bollucks,Yes
heck off this was me during a major group project for a national exam my groupmates were a bunch of useless asses https://t.co/bjrve53axb,No
pg was wide open you tard,Yes
and talking out of our asses https://t.co/jsygtovv7i,No
ft with meeko and khyree buckwhet face asses,No
@mcdonaldsuk   tonight i tried your burger. (: i swear to god. i almost died. why do your burgers look like blow up dolls asses? i cri dude.,No
#amateurporn nice indian cocksucker video: https://t.co/eer907uiar https://t.co/cuhxuesdd0,No
cocks asswipe hell shat fuckwad shitbrains fuck,Yes
@surrendermyhart @mrlocklala pain the asses i say... but i love them. jj is the only cat that calms me.,No
i go to this school and i will be there tomorrow to visit this asswipe https://t.co/aszhbcwb7e,No
@chefdeep12 @prezidentpapi take ya'll drake dickriding nut hugging asses on somewhere ya'll ain't even got 100 followers foh bozos _________,No
get your collective heads out of your asses and you might actually do a worthy super bowl spot. the https://t.co/ttt0ajzjup year in review,No
#interracial sex game pornstars with big asses https://t.co/841mgey8cz,No
@tomthunkitsmind well  who the hell do you think you are  anyway  homophobic asswipe,No
#arab big asses girls dance videos without clothes bar rafeali naked https://t.co/wofayacvqd,No
you &amp; ria both bout the biggest head asses i know __ „ oh yeah ? __ dm me  https://t.co/qlote7ioa3,No
____ come see me on live chat right now _ add my snapchat in my profile! #nsfw #porn #sexvideos #asses ____,No
rt @givenchyglow: vince really said  i got something for y'all black asses. thinking you gone prosper in my damn company and get away withƒ,No
@snowgloww don't warn em   let it sneak up on they asses,No
@katiamanagan //would a couple* of drinks work?   *until katia is totally shitfaced,No
a certain two people need to get their asses here...  #sparklingnye,No
@liamdunbarp tro tard c la fin dmv,Yes
#mattlasner hey   dumbass   why don't you and your husband harass someone who can be as vile as you   fucktard   here i am princess,Yes
@ffbe_en can you lazy asses that cross eyed and stupid to not proof read your spelling?   we wonder why you put out shit content.,Yes
i read this as asshat https://t.co/0c7iqrgpyb,No
#teambts #soompiawards   tweet your asses off armies ____,No
rt @moonlitdick: #staystrongkehlani y'all are fake  why wasn't this trending when she was being slut-shamed endlessly..? foh fake asses,No
scene: my sister and i laughing our asses off at how ridiculous our family is  tears in our eyes,No
@gingerwesson just being a little shithead lol,No
my lesbian cuz only had sex once &amp; got pregnant now her ex of 8 years left her for her babydaddy. now cuz whoops their asses if they meet.,No
i'm tired of all these people trying to act like bad asses all of a sudden.,No
____ come see me on live chat right now _ add my snapchat in my profile! #nsfw #porn #sexvideos #asses ____,No
don't understand why y'all positive asses are constantly talkin bout how everyone gon regret not fucking with you __,No
ppl like dl hughley corny asses says a lot about how backwards we are going. was this necessary? you cancelled michƒ https://t.co/yzf7kc78bx,No
yes ma'am .. that's why i laugh at they asses __ https://t.co/bqjcu0ypho,No
@deadairjeff if you disagree   let's just meet at the point where we both recognize the bauhaus own asses,No
two big black asses bounce on one dick https://t.co/f7n59hljek,No
nobody wants to do shit like that with me though. boring asses,No
"rt @iridescentxkn: you have the nerve to call out a troll account but u stay mute every freakin time irish dizon shames a ""tard""??? @hellobƒ",No
rt @holymatte: @_makemego these high key misogynistic women have their heads shoved up men asses they can't see they're tearing down theirƒ,No
when the asses are gloomy  mob is anxious,No
why do you have to be such a shithead all the time  book?,No
granny nem wouldn't stfu about me chilling &amp; not moving__ so i made them some brownies __   now they asses out __,No
this year's best asses in porn ?! &lt; kcs&gt; https://t.co/xplmyxsaxr,No
head asses __ sike nah yall cute https://t.co/au7vcrtele,No
four graceful lesbians dildoing asses https://t.co/sgxvefssep,No
rt @thedoriru: @wafujidagod honestly legal milf and with asses are borderline a/s tier.  .....or so i've heard because i'm not a lolicon.,No
rt @raaaebaybay: happy 20th birthday babe!! i love you shithead __________ https://t.co/e72qphwzw0,No
@paigeyyy_ @dana_brooks21 @pizzaprincessrp stay away from my sister then before i your asses,No
keeping my distance from all of their asses,No
pic babes with big asses in hot mini #sex park in china https://t.co/zthvgzltlf,No
yeah  politely....unless they're an asshat. https://t.co/lon28elmpi,No
@jryanfarn @roziercarol @thenewoldguard   it's called asshat troll. _,No
@adellkimbrough @wintertimesean man only people with huge ass sticks up there asses say some stupid stuff like that,Yes
@ollieconnolly @sbuchanan24 this guy is the biggest asshat. he should of went away when smu was given the death penalty. #2birdsonestone,No
since all my family's lazy asses im just gonna listen to chance until they wake up ¿¿\_(_)_/¿¿,No
@_hazelnavarraa @_deanarose21 @allycamilleee @rmarieeee y'all shook your asses on me. i mean shit every nigga at the club would hate on me __,No
chuck bass  chuck bass-tard  chuck bastard,No
amateur cocksucker interracial https://t.co/lrifj5xn8q,No
of course you should dab asses with banks. you should cool everything with banks.,No
@liltunechi '' u dont tell me what i can hopld when im cleaning up ur mess from ur damn verbal asses to the sky muthfuc,No
@daveweigel @joshtpm @mediaite i haven't seen a smug asshat get such a brutal beat down since jon stewart went on crossfire.,No
just throw rogic on for the sake of it  even when he's injured he's still pingin passes n slapping asses,No
i'm sure you can expect some sad jase tweets soon so i'm sorry for our sad sappy asses in advance i love my baby girl and i already miss her,No
rt @ashton_sockey14: we was sittin here drinking beer n watching vines laughin our asses off __,No
asian babe free teen naturist nude #top 10 pornstar asses https://t.co/gsvae3apl6,No
i'd beat every singly last one of their asses got me fucked up https://t.co/kwtbk5wltd,No
@sorryimchasity i didnt know u were that far up 1d's asses,No
rt @claudaaaay: @pooch187_ @djbassk @danieljpeg yeah u lame asses don't have shit to say now. go ask god for forgiveness,No
you aint't over yet shithead - 2017 https://t.co/vsmgbi0sci,No
"my mama cooking gumbo and she said ""y'all better not fish all this meat or ima fish y'all asses"" ____ wtf does that mean?",No
@tsummers3 @dustindarby surprised she took her hands out of her puppets asses long enough to hold this sign,No
it's a good thing new yr its on a sunday so y'all lazy asses can cook. since some of you don't cook for new yr ____,No
rt @belarttt: @upizzashit me with one foot up both their asses https://t.co/1z0xsiydby,No
rt @countclayton: whoever/whatever was wikileaks real source (not russia) 4 their material must be laughing their asses off over this russiƒ,No
some historians on here are so up their own asses and impossible to have a convo with so i'm going to...well  limit my follows,No
bitch asses broke all my brothers car windows with a bat  watch .,No
rooney vilified for getting shitfaced at a wedding  firmino's drink-driving barely even mentioned in the press.,No
tbh i did sit a lot of dudes on their asses through my years of playing,No
#queef xxx porn big asses sex https://t.co/cqqnctgavu,No
went snowboarding  but spent most of our time on our asses than on the board. @juggmansantos,No
yall can bet your asses jaebum has been gettin pussi to come up with these 3 songs hooo boi,No
@____masterpiece i swear i do ______ people get on my nerves  leave me  lose my number needy asses,No
hmmmm. i heard he was just being an asshat https://t.co/pfkk2so65m,No
big asses get fixed by white big dick https://t.co/px6a0kp3wx,No
u racist tard gtfo,Yes
lindsey strutt - compilations of brunettes sexy et nice asses https://t.co/d5l0e10qib,No
rt @bellamygun: syco you better be ready  we will kick your asses in the name of the girls  demi and in the name of every single arƒ,No
i need an essay on mla format on why these bitches think someone who's been fucking with you for years will stop for their temporary asses__,No
why tf am i still __ n why do these candy asses over me keep hollering every 30 mins __,No
amazing ebony beauties-mix-phat asses curvy bodies etc #13  photo #37 https://t.co/76dhaycsol,No
#sexy tits and asses usmc naked https://t.co/2wyqtnflk3,No
rt @1dofficieel: haters thought they could troll us  we took over the trend and burned them asses  #now2016 #nowonedirection  #amusicataboaƒ,No
i'm scared to even get in the car tonight because i know some dumb asses out there are gonna be driving drunk,No
@jvfrncsco ah kala ko deins ka na tard. but you're well on your way to proper reasoning. yey,Yes
french canadian cocksucker judy star https://t.co/z2ygwxtsip,No
#delete porno mature women with huge tits and asses having sex https://t.co/sbn8ovg2ai,No
@reddogsusie @promorama39 pet murderers-some puke got paid to execute them-shame on their sorry asses!!____ r.i.p.-no more pain from humans______,No
leave your closed minded asses in 2016. ___,No
lotta y'all finna get y'all asses beat __,No
nobody can guess my joke wtf __ dumb asses,Yes
no homo but gorillas got nice asses____,No
with how these stealers fans talking y'all better go to the super bowl or i'm in asses __,No
rt @aurorabmunchkin: tard na naka follow kay alden and his family.   #labolang https://t.co/rvrjbcfwyg,Yes
if we take a photo i will post it on my ig everyday as a #tb just incase you missed it with your no data having asses.,No
hi @alexmorgan13   please don't pay attention to @jm_ballais he is just a fucktard,Yes
@smallsangel  &amp;  @therebellynn  show  stunning  #asses  &amp;  #holes!!!  best  scene  on  @holedofficial   check &amp; rt https://t.co/bw5n6dq0tx,No
rt @fifthorgajsms: i don't know if you noticed it but everytime camren shippers are about to die camila do something for cheer our asses up,No
rt @r6pleasepeekme: @kdotjohnson_ timid  prideful  ungrateful asses __,No
asian cocksucker rides a fat dong https://t.co/fo3sy5nsc2,No
seeing the girls up london being so up there own asses. makes me appreciate the medway girl ____,No
two of the hottest asian asses https://t.co/haodisnevr,No
bj is the worst motherfucking cocksucking shithead cunt  asshole that ive ever met &amp; i hope he burns in heaven not hell because he is satan,No
the superb asses in the world fucked https://t.co/uvrvf5rhdv,No
___ join me for a live chat _ add my snapchat in my profile! #nsfw #porn #sexvideos #asses ____,No
____ hi guys! who wants to join me on webcam for quality time? _ take a look at my bio and add my snapchat! #nsfw #porn #sexvideos #asses ____,No
a permanent fixture as far as he's concerned. can't stand the right on shithead https://t.co/bprz1vh16t,No
in honor of him being a jts finalist  please watch this asshat talk for 6 minutes about how he sometimes gets sad https://t.co/nfjuuqvyk1,No
@jenthepatriot @jennajameson tx is one fav places to visit.go there for biz quite a bit..but freezing asses off upƒ https://t.co/oaalt7soex,No
being decent at a sport isn't justification for mixon to be a homophobic shithead who beats women  brent musburger,No
big black asses anal #the naked weather https://t.co/kxu5hsbvbh,No
japanische asian lesbian play with asses assholes https://t.co/gozhlaefwy,No
cheating asses #nfl  #jeffgoodell #dallascowboys #newyorkgiants #nygiants they need to be put out the playoffs asap https://t.co/dt0tuxjpvg,No
rt @primadiva419: john watson. you asshat. #sherlock #sherlockpbs https://t.co/mcpxwndl2a,No
hey @donnabrazile  @johnpodesta  @jmpalmieri...the pied piper took your asses to the woodshed. https://t.co/egtghwtzaq,No
damn i can't with you stupid asses __,Yes
he's so (economically) privileged and doesn't even fuckin realize it!!!!!! he's always so fuckin ungrateful what a little shithead,No
pack gentleman: per a que mai arribin tard! ;) #gentleman #regals #reis https://t.co/cuxmrkifpk,No
just because they speak in arabic  doesn't mean you have to kick them out. it's just a language. calm your asses down.,No
drugs blind people to the truth bro for real never fucking with a tard again,Yes
teen cocksucker pics https://t.co/a5depyh0q5,No
@erod878 asswipe refs,No
lmaoofhvcgvbbb catch y'all triff asses https://t.co/gbdujbrgt4,No
@lawyerrogelio tiger woods is a asswipe__,No
#pictures of sexy asses black-t-shemale https://t.co/m4vqdrj97q,No
__ me  fresno clovis ca zacky farms secretary  belltech secretary  and fanatical cocksucker denise... https://t.co/2ne04znwjn,No
4. [+51  -0] i'm a man and i saw the video and he totally knew he was touching her chest ______ he's a total ba$tard  stop defending ur oppa,No
@onision hey! cuntbag? you wanted follow 69 peeps! what is this 21 bullshit? buy gold  asswipe!  proof: https://t.co/b3zjh1bab3,No
#reasonsblackkidsgetwhoopins because they're smart asses,No
shorts getting their asses kicked again. happy new year lol $spy $es_f,No
these thick ass 19 year olds looking like they 23 are really starting to piss me off with they fine asses make no sense !!!,No
1  2  3  4  5  6  7 asses!,No
@yubbie007 why do black men in the inner city look at women for their asses because they're always portraying their asses  not their smarts,No
"rt @delafro_: you didn't read her thread. none of you ""what's wrong with what she said"" face asses did. y'all annoying as shit.  https://t.ƒ",No
sex slaves videos #hott asses jupiter fl https://t.co/uakgr7ltth,no
@jramezz 3 sorry asses as my wr's,No
rt @strikerr10: @lekassidyy i love you more shithead,No
rt @sniperkc3: i'm looking at all these timelines and yall some spoiled asses lol like i was lucky i got 20 dollars yall in for a rude awakƒ,no
on me i hate niggas __ hoe asses !!!,No
@xarsonista @kavier4ever well  fuck. if your asses get arrested  you can rot in jails idc.,no
#sexyhot indian antyfucking guy viedos only massive asses porn https://t.co/rhexwq0scd,No
"i'm all  ""you people on fb get two days to relax. dassit. if your asses aren't organizing the resistance by 1-3-17  i'm done with you.""",No
lame asses lol https://t.co/hgcwyvhugb,No
big asses porn videos https://t.co/coifsfpsjc,No
right all that bullshit in my mentioned ceases when i was throwing faxs. dumb asses,Yes
rt @respectthatass: i'd rather spend new year's eve buried under @ninakayyxxx &amp; @cristiannxo's magic asses. but hanging with the in-lawƒ,No
@furlinnick @thehill they just want to cover their asses for their monumental failure.,No
@ironteethbitch twitter unfollowed you because it's an asshat....even though i was just looking at your gorgeous baby girl...major side eye,No
diagrams of dicks in asses and movies of https://t.co/8yvzbzmefs,No
@joulu_pukki @rabbitmagick @anonyxrose unless you too fall in that asshat freeloader category; why are you even bringing that up? hmm.,No
my guy as men we all like both but lets be honest  shit comes out of asses and milk comes out of titties https://t.co/c1tszybvvd,No
we live to survive in this cruel world. to be independent  to not be weak asses,No
____ public and moist chats with me _ head over to my profile and add my snapchat! cum watch me! #nsfw #porn #sexvideos #asses ____,No
@omgadamsaleh sue their asses off! going forward from now on everyone should be prepared 2 film similar incidents for future law suits.,No
"rt @hermicane1: @joejoetamara @leahrboss @bilodope what ""career"". no one has ever heard of him!!! lmfao at this little re-tard!",Yes
hot close up pussy #porn hot asses https://t.co/bkrqhqakyi,No
if some fuckhead did this to me at 3am i'd drop him so fast. do not https://t.co/fnmcssiguj,No
@realdonaldtrump the so called entitlements  are handouts  no entitlements like social security. people need to get of their asses and work,No
asses in public alexa and rosario https://t.co/vykltmdcvm,No
____ visit my bio and add my snapchat! and join me live on webcam #nsfw #porn #sexvideos #asses ____,No
#girls with big asses fucking nude picture on camera phone https://t.co/6t5pgfugak,No
#slag #asses yolanda __ trampling her profile here __ https://t.co/idq1anuyay _ #quote #____ #cute https://t.co/l1r7jz1qan,No
"map 3-""llmgummy"" fuckhead ass has to run extended clip on his nv4 and have host all 3 maps and still fucking lost https://t.co/luyimahji7",No
these girls will lie they're asses off to the t. don't trust these hoes. fuck all these hoes.,No
pussies asswipe fuckwit hell,No
niggas always tryna break up with somebody before christmas broke asses ________,No
"amy said ""i should turn both ya lanky asses around"" ________",No
big tits small asses https://t.co/yudsexqyeb,No
willys showing me how the guys twist around spitting their asses on their heels. its really quite remarable boy.,No
porn stars big asses #beautiful naked womem https://t.co/kk0u2het26,No
#huge nude asses tommy steel porn https://t.co/n3lnoryeva,No
#hd blowjob sexiest asses https://t.co/bvayq9sncq,No
hey shithead @hms_buttertime check your phone. or wake up at a decent time thx,No
#big asses nude cougers porn https://t.co/etentrusds,No
this girl said she took her man to a strip club but got mad when he commented on their asses __ that's me. acting cool but really not ______,No
@evildoer_esq tbh its just funny to troll you. just like the racists read race into everything  so do virtuesignaling asses like you.,No
rt @joe_n1nety: it's interesting that this asshat takes umbrage because a muslim woman can be exceptional at baking and integrate iƒ,No
hey bitch asses,No
rt @a6thsense: wendy williams is worth $60 000 000  lol. she ain't trippin on y'all bored broke asses.,No
you ever notice how all the people who follow and retweet fuckhead kurt eichenwald are  in fact  fucked in the head? https://t.co/nu2vpm96ay,Yes
@anglip15 @izzy_bee_69 true and their insane asses get block by everyone,No
@itzgeorgia_sio happy birthday you shithead x,No
management leaked the song so everybody could get off they asses don't let them distract u  #freefifthharmony,No
@cocobutterki they really showing they asses getting mad about a movie having god as a black woman. what god look lƒ https://t.co/bd5cwblpwd,No
happy 16th to my bff/little sis/fav shithead @jackiepuda3 __ life would be so boring without you __ https://t.co/sdxgifyl7e,No
rt @wtixprthdmw4: stunning ebony busty brunette sluts with big asses getting anal fucked https://t.co/ht6wqngr6o,No
two sexy lesbian sluts with great asses foll round oustide https://t.co/22zeahfqq7,No
quit being a asshead __ https://t.co/yvfvywh3nu,No
rt @ffs_itsajoke: @talsullivan @sandratxas this ass-hat also teaches our children. hope he is fired.,Yes
pisser shits nipple piss piss asshead shitty,No
come here you little asshead https://t.co/05d8blg3vo,No
@newscomauhq cockhead! lock him up anyway!,No
@firstmateadri -- swollen cockhead  slurping at the pre happily.,No
@xhampvgnemami_ you're an asshead but i don't say anything,No
@mrsmentola did some ass-hat on here do that?,No
candy may - polishes cockhead with dish gloves full video.mp4 https://t.co/kqimhvjy7u https://t.co/cpubst9yxg,No
rt @thegoatmaryna: happy birthday asshead ______ @hk_anthony85,No
my cbt cockhead steelring is causing pure squirting and juicy fun !! https://t.co/ven8ng29ht,No
rt @audrakat: @lindasuhler @shilohaura now we know why #assbag #zuckerberg went to #china: #technology on #internet #conservativeƒ,No
@citizenaust @darren_nell no  cockhead.  it's you and your fuckwit mate who are not just insulting but threatening. #notinmyname,Yes
@lewdjammerlammy &lt; inch  uncut  veiny  throbbing  bbc. he was vigorously stroking it  aiming his wide cockhead toward the inside of the &gt;,No
uncut cockhead close up precum https://t.co/kjwv3rs2yf,No
i just saw that cockhead ex of mine and he gave me an evil smile arg  i'm so pissed ......,No
seductress sucks cockhead https://t.co/2fna0iuz6s,No
yuya? fungami? w/e you're a fucking assbag jfc,No
asshat cock asshead shitting crappy titty,No
"rt @ludaaak: this whole ""new year new me"" is a joke. you're going to be the same cockhead you were an hour and 43 minutes ago. happy new yeƒ",No
what a fucking assbag,No
i shifted slightly pinker as if i slid my #cockhead.,No
rt @rickrichards2: #cockhead #cock #showeselfie @jessicumgirl. hope you like! https://t.co/wraheoks2e,No
@onmywayuh assshit creed: revelations,No
@foxnews @genesimmons you needed to paint your self up as coco the clown before anyone would listen to your music you talentless cockhead,No
pen or no pen. who cares as long as cockhead and harper die a little inside as we roll on #mvcvnew,No
"rt @exdreem: ""i want to be an asshead"" - @fidgetwastaken 2016",No
rt @joebucsfan: joe is remembering how many times he was called an assbag for saying bucs would be wise to slap franchise tag doug martin aƒ,No
asshead ______________________ https://t.co/pfm7khrolc,No
"today my mom called me a ""cockhead"" __________",No
@hunterlw71 @dnr_crew @hyperrts that's fucking stupid go get a life cockhead,No
leave all that unnecessary hate n shade in 2016  2017 is year of the cock so be a cockhead instead,No
@white64ss @phillycenca the incompetent assbag  helped get you championships with inept qb's which he made better. his teaching helped...,No
@boofboofhead you cockhead,No
#jimmyclay teasing #tonycapucci's cockhead https://t.co/x9lhc2w2ng,No
@vannnesssa_ you're a cockhead,No
rt @kiciqadyz: real hooker cockhead https://t.co/iemlikwu5l,No
cognitive dissonance as the total ass-hat on our plane turns out to be an @nybooks reader. must be a gift subscription.,No
stop hypin' things that shouldn't be hyped u fuken cockhead,No
fucking monster cockhead https://t.co/cnnc9pjbog,No
asshead cock cunt boobs fucking asswipe,No
long nails cockhead scratch https://t.co/mfwmhzlb6h,No
"@scazone @shadowtosis @pauizke paul ""i only use the m4"" cockhead",No
@angiecoiro @broadwayworld why don't you dance from the assbag then,No
__ two of my favorite things  cockhead and nipple!!!__follow me and enjoy... https://t.co/vvwr9uqihz,No
how u gone say sum hurtful assshit and then say u didn't mean it ____,No
cockhead plump close-up https://t.co/1qbsihpgjm,No
shat asshead,No
crappy fucks asshead cock,No
@allgd66 @thehock13 @pdean42  if u had of sent me a cockhead request i would accept #fkoff,No
asshead twat cocks dicks,No
anyway as the asshead i am i defo will watch season two to see if these guys can actually do something that isnr die or kill ppls thanks,No
"@nathaningz you're doing ""cockhead"" superbly",No
@rezonqte i offered but you ignored!! asshead,No
@richardbranson fuck off  who gives a fuck  you're also a prized #cockhead,No
@boofboofhead you support ray hadley he did adds for @nswlabor cockhead #nswpol,No
lil asshead,No
rt @mandownsouthxxx: skinned right back on foreskin friday..cockhead ready to please!! #escort #cock #foreskin #foreskinfriday https://t.coƒ,No
so 'straya to have the word 'cockhead' in upcoming episode of the show.  i love it,No
cumslut pissing cumslut shit asshead,No
rt @billbong9059: @fiverights @realbethneale she is an ass-hat  thats for dam sure,No
@ivanjwmoody1 @5fdpchriskael what you need to do is find a good psychiatrist you're a joke can't even live your own life you're a cockhead,Yes
shat motherfuck asshead cunt,No
@johnnyvegasreal#qi is the biggest cockhead on tv. totally ruins #qi with his juvenile attempt at humour.,Yes
someone told me i have bleeding heart for lost causes because i manage to find &amp; date them  also bc i am one.  touch_. assbag.,No
bro turn your hotspot on so i can post this 4:20__asshead ahh dude!!,No
shes's a cockhead...,No
don't be a cockhead this year guys...,No
this year has been an assbag.,No
what an assbag! https://t.co/ruogempaq8,No
fucker asshead,No
@killa_kilkenny complaining about things. blame your fucking penalty taker. the cockhead missed twice.,No
@_kayloveee i did asshead,No
johan botha seems like a complete cockhead! nice catch tho!  #bbl06,No
titty shitting asshead,No
shits asshead fuckface,No
i thought he was fucking gone.... sad that the 90's are back in the sense that we have an assbag named newt tellingƒ https://t.co/wxhuanwets,No
@nigel_farage you are a sick racist cockhead,No
was up at 3 then fell asleep &amp; im just now waking up n im tired assshit __,No
on the entrance and traced her line and labia. i felt her wetness on my circumsized cockhead as i rubbed her clitoris with it.   bhabi:...,No
loser micro cockhead https://t.co/rlpcbwf5j9,No
shiny uncut cockhead exposed https://t.co/ag76yhuduj,No
@bitchimadyke i like throwbacks cockhead,No
me milking a large penis - post cum cockhead teasing https://t.co/ndnpba5omk,No
@2fbs cockhead next door with a xmas light show  dressed as santa  waving at cars until 10pm. on a main road. *every* damn car honks.,No
bareback gay cockhead https://t.co/dicoaklt3h,No
@f1orest frick off u cockhead,No
nipple ringe und cockhead ring https://t.co/jikkditbxq,No
"@k_klixen please another clip like ""milked by daniela 04 technique: cockhead sucking"" this was one of the greatest clips i have ever seen!!!",No
@bbros_ hi asshead,No
@umgriott @muhscle67 @eiumentary spawn in cockhead,No
@mrchainsaw07 merry christmas  assbag x,No
@gvidelines @vcdkalullabies asshead. i thought he was joking-,No
ellis  you're a fucking asshead who is out of his league. #diehard,No
goth teen licks a cockhead and pushes it inside her https://t.co/c8lcdehxog,No
gianna walked to the wrong car in the parking lot and my mom goes : that's not my car assbag,No
i've been to hell and back thats why i am bad as fuck got it asshead?____,No
hell is waitin asshead,No
rt @aye_lui: if you still believe all these people on snapchat that say they're moving then you're an asshead.,No
asshead asswad penis,No
@justjasminexxx if you need help dealing with this ass-hat lmk ____,No
fart prick asshead,No
and this!! have to fit my cockhead in this!! should be intense. i hope!! i might show pics later https://t.co/k67f5b0cyj,No
headass „ asshead https://t.co/iqmqiitcyy,No
@fernandeezy_  ok think what you want asshead,No
@realaircon what a complete assbag this guy was. 14 year old in a 60 yr old body,No
@chrispage83 ellis- what a cockhead,No
why is adam saleh on tour? the cockhead has no talent,No
rt @suhodacako: german big cockhead https://t.co/s38945fow7,No
"rt @mombot: x-mas shopping 2016:  ""this dev is an assheadƒthis dev tried to dox meƒthis dev sang a fucking protest song about gƒ",No
cock milking and post cum cockhead rubbing https://t.co/sb80zwxakp,No
yeah sure  i'll stay up until after 10pm every night  no biggie. cockhead. #fml https://t.co/94vaashi8b,No
@mfletcha18 then it's up to me to make sure nothing goes wrong if you are going  bastards asshead mutha fuker imc-inu-prf-1612231932,No
shit damn asshead prick fart,No
oh  fuck. wank bugger shitting asshead and hole.,No
me and my sis are drunk talking about funny assshit,No
fucking cockhead ass.,No
rt @hwbihanzsmjjv1: hitatchi cockhead toolbeltbear https://t.co/i8yjsvekpw,No
@only1ahti_ damn went aren't you mad i can't never do right by your big asshead _________,No
@chadkovac @standalone2016 @jeremy__ensley @playazball @trimtrom chad  delete this now. asshead.,No
@grubbeh eh ive never encountered it. my brother has but was a cockhead in cars. deserved it. i've been pulled over about 14 times this year,No
ejaculation avec cockhead frottee https://t.co/ezvmagkon9,No
"@corbinrankinlee @espncfb @capitalone actually  asshead  they won their *conference ""championship "" hence the ny6 invite&amp; it's really ""cool""",No
someone: headass  me:...........asshead,No
@jake74 pace yourself  cockhead.,No
rt @blakedotfr: god rest ye merry ass-hat farms when ignoring what we say remember vulnerabilities could all be 0-day @swiftonsecurity @eldƒ,No
i hate having draws on clash royale fucking waste of time pmo stupid kuksaka assshit game  ima still play tho,No
rt @sleazypunjabi: indian hot desi guy dadbod jerking off. enjoy his sexy hairy chest  pubes and that cockhead #indiangay #desigay https://ƒ,No
@weneedtrump total assbite!,No
@jebstopher fucking cockhead,No
ultra big cockhead https://t.co/q3msvoxoj5,No
"rt @gianna_01: me: *goes to wrong car* mom: ""that's not my car assbag""",No
fuck asshead motherfucker dick pisser fart titty,No
my shit sick assshit   im scared to roll this j__,No
rt @tonyslutxxx: glory horny morning __ #gayselfiecock #gayhorny #bigthickcock #hardcock #cockhead #dick https://t.co/q02rdy7fun,No
rt @luv2cucum: esme held her favourite toy hard against jeff's cockhead as she teased his cum out of it https://t.co/wyhpdjh1tu,No
__ // ur the biggest asshead around but ur pretty great  hope nothing but the best for u _______,No
@kurtschlichter spoken like a true cockhead.,No
you say that? why don't you understand that sacrifice your future? what an asshead,No
tits assface asshole asswipe asshead prick,No
@delgado_jakob no it didn't you cockhead,No
anyone who answers a work phone with 's'up' automatically becomes a monumental cockhead #justmyopinion #twuntseverywhere,No
get your head out of your arse garrick. and have a great new year...#whothefuckareyou #hahaha #cockhead https://t.co/1nqlcnuuds,No
"bristows blocking me  the absolute ""crafty cockhead"" #facistfraud https://t.co/knuqsdsy8p",No
rt @jayweingarten: my cousin's ass-hat boss just spanked my hipster friend. this is getting ridiculous,No
@jakeratedx you are a cockhead,No
jerkass pisser asswipe bastard cocksucker motherfucking asshead,No
get a fucking life you assbag,No
#mcyvper new rule  you are not allowed to whine about refs in a game where you get handed 3 pens and you miss two of them. fuck off cockhead,No
needle through cockhead https://t.co/yhwjbef1gx,No
rt @plymouthdawg: harbaugh calls the last two timeouts like a true douche. what a piss poor loser. his sportsmanship is horseshit. #assbag,No
more thistle cockhead https://t.co/qesky8m9rc,No
rt @jewhaditm: as if he would answer a non-descript  angry  whiny __ asshead like you. stoppppppp https://t.co/ds2rtol4nf,No
can't just be me with that one friend who changes into a right prick when he's around more than just you? right little fucking cockhead twat,No
@smtownglobal stop editing hansol out asshead,No
rt @stretchybutt: in he goes. mmmmm~ the little spines on the back of his cockhead feel amazing &lt;3 https://t.co/p8do2b7fzp,No
@armodan @skyracingau he's a cockhead,No
asshead dickbutt fucked,No
making my cockhead https://t.co/bwfhwgsc5q,No
@monkeyteaparty @michaelblake514 would be like the mafia #themexican #psychosis #cockhead etc etc lol,No
@alittlecentaur *rubs your cute cockhead  spreading around your pre  then strokes the rest of your length at a faster pace*,No
lemme go to sleep asshead @alesrevenge,No
adinas a fuckin cockhead,No
asshead crapped fucks damn,No
asshead asshat fuckwit,No
@notmuteeb @syntaxerrorhehe mjhe sb asshead kehte hain  is se zyada annoying kya ho skta hai,No
